Date,Stock,Prediction
2025-07-13 22:38:42,RELIANCE.NS,SELL
2025-07-13 22:38:55,RELIANCE.NS,SELL
2025-07-13 22:39:19,RELIANCE.NS,SELL
2025-07-13 22:41:09,RELIANCE.NS,SELL
2025-07-13 22:41:22,RELIANCE.NS,SELL
2025-07-13 22:43:42,RELIANCE.NS,SELL
2025-07-13 22:49:07,RELIANCE.NS,SELL
2025-07-13 22:53:02,RELIANCE.NS,SELL
2025-07-13 22:53:31,RELIANCE.NS,SELL
2025-07-13 22:55:19,RELIANCE.NS,SELL
2025-07-13 22:55:47,RELIANCE.NS,SELL
2025-07-13 22:56:06,RELIANCE.NS,SELL
2025-07-13 22:56:46,HDFCBANK.NS,SELL
2025-07-13 22:56:57,HDFCBANK.NS,SELL
2025-07-13 22:57:04,HDFCBANK.NS,SELL
2025-07-13 23:53:31,RELIANCE.NS,SELL
